SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
Michigan, Wolverines, UM, Big Ten, 00274C, FFCB05, 95, MI, MI;
Purdue, Boilermakers, PU, Big Ten, CEB888, 000000, 93, IN, IN;
Michigan State, Spartans, MSU, Big Ten, 18453B, FFFFFF, 90, MI, MI;
Illinois, Fighting Illini, ILL, Big Ten, E84A27, 13294B, 89, IL, IL;
Wisconsin, Badgers, WIS, Big Ten, C5050C, FFFFFF, 88, WI, WI;
Ohio State, Buckeyes, OSU, Big Ten, BB0000, 666666, 86, OH, OH;
Iowa, Hawkeyes, IOWA, Big Ten, FFCD00, 000000, 85, IA, IA;
UCLA, Bruins, UCLA, Big Ten, 2D68C4, F2A900, 85, CA, CA;
Indiana, Hoosiers, IU, Big Ten, 990000, EEEDEB, 82, IN, IN;
Maryland, Terrapins, UMD, Big Ten, E03A3E, FFD520, 81, MD, MD;
USC, Trojans, USC, Big Ten, 990000, FFC72C, 79, CA, CA;
Northwestern, Wildcats, NU, Big Ten, 4E2A84, FFFFFF, 78, IL, IL;
Penn State, Nittany Lions, PSU, Big Ten, 041E42, FFFFFF, 76, PA, PA;
Nebraska, Cornhuskers, NEB, Big Ten, E41C38, FDF2D9, 76, NE, NE;
Rutgers, Scarlet Knights, RUTG, Big Ten, CC0033, 5F6A72, 73, NJ, NJ;
Minnesota, Golden Gophers, MIN, Big Ten, 7A0019, FFCC33, 69, MN, MN;
Houston, Cougars, HOU, Big 12, C8102E, B2B4B2, 94, TX, TX;
Kansas, Jayhawks, KU, Big 12, 0051BA, E8000D, 92, KS, KS;
Arizona, Wildcats, ARI, Big 12, CC0033, 003366, 91, AZ, AZ;
Baylor, Bears, BAY, Big 12, 154734, FFB81C, 89, TX, TX;
Texas Tech, Red Raiders, TTU, Big 12, CC0000, 000000, 89, TX, TX;
BYU, Cougars, BYU, Big 12, 0062B8, FFFFFF, 85, UT, UT;
Iowa State, Cyclones, ISU, Big 12, F1BE48, C8102E, 85, IA, IA;
Cincinnati, Bearcats, CIN, Big 12, 000000, E00122, 80, OH, OH;
TCU, Horned Frogs, TCU, Big 12, 4D1979, A3A9AC, 79, TX, TX;
West Virginia, Mountaineers, WVU, Big 12, 002855, EAAA00, 79, WV, WV;
Colorado, Buffaloes, CU, Big 12, CFB87C, 000000, 78, CO, CO;
Kansas State, Wildcats, KSU, Big 12, 512888, D1D1D1, 76, KS, KS;
Oklahoma State, Cowboys, OKST, Big 12, FF7300, 000000, 76, OK, OK;
