SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
WI Platteville, Pioneers, UWP, Wisconsin, 1A64B7, F58113, 91, WI, WI;
WI La Crosse, Eagles, UWLC, Wisconsin, 830019, 78797A, 90, WI, WI;
WI Oshkosh, Titans, UWO, Wisconsin, FFCC00, 000000, 88, WI, WI;
WI Whitewater, Warhawks, UWW, Wisconsin, 512884, FFFFFF, 84, WI, WI;
WI Eau Claire, Blugolds, UWEC, Wisconsin, 2C3C88, EAA610, 80, WI, WI;
WI Stevens Point, Pointers, UWSP, Wisconsin, 432C91, FDDD04, 79, WI, WI;
Carthage, Firebirds, CRTHG, Wisconsin, D01C2E, 231F20, 79, WI, WI;
St. Norbert, Green Knights, SNC, Wisconsin, 1A472B, EDBD3D, 74, WI, WI;
WI River Falls, Falcons, UWRF, Wisconsin, D31145, 231F20, 69, WI, WI;
Carroll, Pioneers, CRRLL, Wisconsin, 0C2950, F2541B, 64, WI, WI;
Wisconsin Lutheran, Warriors, WLU, Wisconsin, 006643, 1E1E1E, 59, WI, WI;
Ripon, Red Hawks, RIPON, Wisconsin, B00C36, 231F20, 53, WI, WI;
WI Stout, Blue Devils, UWSTO, Wisconsin, 111C2C, B4B5B4, 53, WI, WI;
Concordia WI, Falcons, CUW, Wisconsin, 245699, B1B3B3, 50, WI, WI;
Milwaukee Engineering, Raiders, MWENG, Wisconsin, C12033, 010202, 47, WI, WI;
Marian, Sabres, MRIAN, Wisconsin, 037EA0, 6C757D, 35, WI, WI;
Mount Union, Purple Raiders, UMU, Ohio, 482889, 000000, 90, OH, OH;
John Carroll, Blue Streaks, JCU, Ohio, 28334A, BC955C, 85, OH, OH;
Heidelberg, Student Princes, HBERG, Ohio, E35205, 383839, 80, OH, OH;
Marietta, Pioneers, MRTTA, Ohio, 0F2752, 606D84, 80, OH, OH;
Wooster, Fighting Scots, WSTR, Ohio, F8C42C, 0A0B09, 76, OH, OH;
Case Western Reserve, Spartans, CWRU, Ohio, 0A304E, 626262, 74, OH, OH;
Denison, Big Red, DNSN, Ohio, C8102E, FFFFFF, 70, OH, OH;
Otterbein, Cardinals, OTRBN, Ohio, E51B24, C79A48, 70, OH, OH;
Ohio Northern, Polar Bears, ONU, Ohio, F36532, 7B7979, 68, OH, OH;
Wittenburg, Tigers, WTNBG, Ohio, 990000, D7D1C4, 67, OH, OH;
Capital, Comets, CAPTL, Ohio, 380982, A1A1A5, 66, OH, OH;
Ohio Wesleyan, Battling Bishops, OWU, Ohio, C4122E, 100F0D, 62, OH, OH;
Baldwin Wallace, Yellow Jackets, BWU, Ohio, 3F230D, FFCB05, 60, OH, OH;
Muskingum, Fighting Muskies, MUSK, Ohio, 7F233C, C5C6C9, 48, OH, OH;
Wilmington OH, Quakers, WILOH, Ohio, 024E43, 7AB800, 47, OH, OH;
Oberlin, Yeomen, OBER, Ohio, A6192E, FFC72C, 45, OH, OH;
Randolph–Macon, Yellow Jackets, RMC, Old Dominion, FFCF00, 000000, 94, VA, VA;
Emory, Eagles, EMORY, Old Dominion, 002F6C, F2A900, 89, GA, GA;
Guilford, Quakers, GUIL, Old Dominion, 981B36, 635851, 88, NC, NC;
Roanoke, Maroons, ROAN, Old Dominion, 8D0B3D, 1A1919, 88, VA, VA;
Virginia Wesleyan, Marlins, VWU, Old Dominion, 003861, 687681, 85, VA, VA;
Hampden-Sydney, Tigers, HSC, Old Dominion, 8A2432, 9C9EA1, 77, VA, VA;
Maryville TN, Scots, MVC, Old Dominion, 640A28, FF6600, 75, TN, TN;
Washington & Lee, Generals, WLU, Old Dominion, 003087, 707372, 73, VA, VA;
Lynchburg, Hornets, LBURG, Old Dominion, 7E1E27, 8A8888, 65, VA, VA;
North Carolina Wesleyan, Bishops, NCWU, Old Dominion, 0D4D84, EDCB04, 59, NC, NC;
Averett, Cougars, AVERE, Old Dominion, F3B539, 002A5C, 50, VA, VA;
Pfeiffer, Falcons, PFEIF, Old Dominion, FFC627, 231F20, 50, NC, NC;
Bridgewater, Eagles, BRDGE, Old Dominion, A31F34, 8D724A, 44, VA, VA;
Shenandoah, Hornets, SHEN, Old Dominion, 003E7E, D11242, 34, VA, VA;
Southern Virginia, Knights, SVU, Old Dominion, 9E1B32, A0A1A2, 30, VA, VA;
Eastern Mennonite, Royals, EMENU, Old Dominion, 0056B8, B9BBBD, 29, VA, VA;
Nebraska Wesleyan, Prairie Wolves, NWU, American Rivers, 2A282B, B7A570, 85, NE, NE;
Mary Hardin–Baylor, Crusaders, UMHB, American Rivers, 492F92, FEC324, 83, TX, TX;
Dubuque, Spartans, DUBUQ, American Rivers, 1C3C75, FFFFFF, 82, IA, IA;
Loras, Duhawks, LORAS, American Rivers, 3B2B66, C9B281, 82, IA, IA;
Coe, Kohawks, COE, American Rivers, 561216, A68145, 80, IA, IA;
Hardin-Simmons, Cowboys, HSU, American Rivers, 581483, FFC72C, 77, TX, TX;
St. Thomas TX, Celts, USTTX, American Rivers, A81829, F5BE4E, 75, TX, TX;
Central IA, Dutch, CTLIA, American Rivers, EA0029, C8C8C8, 64, IA, IA;
Buena Vista, Beavers, BVU, American Rivers, 072748, FCCF34, 63, IA, IA;
Wartburg, Knights, WBURG, American Rivers, EE7323, 939598, 60, IA, IA;
Concordia TX, Tornados, CCDTX, American Rivers, 582D83, FFD24F, 57, TX, TX;
Schreiner, Mountaineers, SCHRN, American Rivers, 510000, FFFFFF, 53, TX, TX;
Simpson, Storm, SIMPS, American Rivers, 9F1A29, EAAB21, 44, IA, IA;
Colorado College, Tigers, COC, American Rivers, EAB337, 000000, 43, CO, CO;
Texas Lutheran, Bulldogs, TLU, American Rivers, EAAB00, 000000, 31, TX, TX;
Luther, Norse, LUTH, American Rivers, 004C97, FFFFFF, 31, IA, IA;
Mary Washington, Eagles, UMW, Mid Atlantic, 0D2F5B, FFFFFF, 95, VA, VA;
Christopher Newport, Captains, CNU, Mid Atlantic, 1B386D, 84888B, 91, VA, VA;
